"gmap","RFL_CONC","Elevation30m","HeatLoadIndex30m","tmean13c","SoilConductivitymSm","SoilTotalNPercent"
238,16,1312,226,14.19999981,16.11731148,0.165137902
249,6.9,1244,201,14.69999981,8.604370117,0.116901629
228,15.3,1146,186,15.69999981,9.396287918,0.116457224
223,24.5,779,223,16.29999924,30.67345428,0.094441161
221,24.2,956,225,15.39999962,23.62828827,0.091815054
236,24.2,936,216,15.19999981,39.4352951,0.109227493
229,51,338,236,18.89999962,5.049379349,0.044606376
221,30.1,1153,221,15.60000038,21.51204109,0.092417233
192,24.3,634,212,18.10000038,63.77742386,0.085404843
188,24.3,598,215,17.20000076,50.61934662,0.093592994
200,36.2,592,214,17,71.79466248,0.082365401
182,36.2,571,215,17.79999924,38.17108536,0.107204862
227,51,269,228,19.10000038,6.4995718,0.054149963
231,30.1,1111,217,15.60000038,26.60407829,0.071878642
280,13.5,1370,233,14.60000038,14.28367615,0.180921257
280,13.5,1296,227,14.60000038,26.36826324,0.105290778
318,13.5,1332,202,14.39999962,15.37892628,0.143573672
335,13.5,1390,202,14.39999962,15.48349762,0.135501415
216,31.2,1250,227,14.5,23.82117081,0.139376894
217,31.2,1386,241,14,22.73388863,0.144251466
220,31.2,1556,216,13.39999962,26.98574066,0.118182927
226,30.1,1591,213,13.69999981,28.22411919,0.126712829
260,51,313,223,19.10000038,7.034556866,0.056333184
231,30.1,1094,213,15.60000038,24.66641235,0.072320476
220,31.2,1582,224,13.39999962,25.35117531,0.120155126
219,31.2,1484,176,13.80000019,25.21627235,0.114651084
296,24.5,1051,243,13.39999962,10.50848103,0.123982228
188,16.8,1096,215,15.60000038,65.8059845,0.116335489
193,16.8,1086,219,15.69999981,69.58690643,0.119691484
200,49.2,259,213,18.89999962,5.531030178,0.048616875
177,49.2,226,221,19.10000038,7.919221878,0.065342613
175,49.2,191,220,19.79999924,20.94151878,0.071564846
221,51,344,220,18.70000076,6.030426502,0.062264934
231,30.1,1096,210,15.60000038,26.60407829,0.071878642
183,49.2,204,227,19.29999924,16.75472069,0.09384384
273,46.7,306,222,17.79999924,7.630728245,0.075228959
216,43.1,184,214,18.79999924,19.47948265,0.055874139
72,27.5,285,219,20.5,38.74228287,0.056259874
242,51,352,217,19.20000076,6.827939987,0.077431694
231,30.1,1086,208,15.60000038,26.60407829,0.071878642
170,35.9,399,216,18.70000076,36.30522537,0.040090229
263,43.4,742,219,17.20000076,28.44039536,0.073470376
209,30.1,1049,217,16.20000076,64.09658051,0.077641219
387,44.3,780,217,17.20000076,14.99854279,0.080308974
218,51,328,225,19.5,9.25920105,0.070491694
231,30.1,1061,214,15.60000038,34.91203308,0.115943365
149,46.7,321,217,19.60000038,5.414083958,0.082594946
198,30.1,1043,214,16.20000076,39.95227051,0.118855298
148,46.7,243,215,19.70000076,14.42724895,0.101690814
198,30.1,1035,215,16.20000076,39.95227051,0.118855298
243,46.7,310,228,18.39999962,5.513090134,0.06183191
198,30.1,1068,210,16.20000076,56.51943588,0.075556204
166,46.7,211,218,19.29999924,17.76197624,0.078638621
202,30.1,1114,208,16.20000076,23.91623116,0.087443829
157,46.7,188,216,19.79999924,17.7806263,0.085676476
202,30.1,1110,213,16.20000076,23.91623116,0.087443829
157,46.7,189,223,19.79999924,17.7806263,0.085676476
202,30.1,1098,217,16.20000076,56.51943588,0.075556204
90,46.7,224,212,20,10.91504765,0.09232606
198,30.1,1083,205,16.20000076,56.51943588,0.075556204
192,46.7,426,207,18.60000038,6.496883869,0.055986963
198,30.1,1083,210,16.20000076,56.51943588,0.075556204
224,46.7,474,215,18.10000038,8.070800781,0.054220524
198,30.1,1084,210,16.20000076,56.51943588,0.075556204
213,30.1,823,214,17.29999924,69.27333069,0.112415537
209,30.1,1045,195,16.20000076,69.63700104,0.076032326
352,44.3,764,219,17.39999962,15.50954151,0.071799375
210,39,733,206,17.29999924,13.25712299,0.076083936
229,30.1,1119,206,15.89999962,31.65402031,0.072926365
224,39,704,212,18.5,32.66843033,0.086304389
229,30.1,1123,206,15.89999962,31.65402031,0.072926365
221,39,748,221,18.39999962,32.45661163,0.094359137
208,30.1,1146,194,15.89999962,21.61776161,0.09487199
247,51,680,214,17.29999924,37.2678833,0.097910792
208,30.1,1147,194,15.89999962,21.61776161,0.09487199
228,51,793,220,17.10000038,41.53587723,0.088981465
208,30.1,1173,187,15.89999962,21.61776161,0.09487199
196,31,714,221,18.79999924,36.84931564,0.102344036
208,30.1,1147,200,15.89999962,21.61776161,0.09487199
194,31,628,224,18.70000076,19.71900749,0.118131757
231,30.1,1115,209,15.60000038,26.60407829,0.071878642
196,31,620,226,19.10000038,28.07585907,0.082133353
231,30.1,1154,188,15.60000038,15.04734612,0.193952397
204,31,606,189,19.20000076,17.70544434,0.096700333
231,30.1,1176,187,15.60000038,15.04734612,0.193952397
206,31,646,216,19.20000076,46.0908699,0.074376419
231,30.1,1218,205,15.60000038,15.04734612,0.193952397
213,30.1,843,224,17.5,61.73044586,0.115974061
209,30.1,1048,215,16.20000076,69.63700104,0.076032326
323,43.4,733,215,17.10000038,9.681078911,0.052209314
194,31,678,219,19.10000038,42.70497513,0.07557299
231,30.1,1229,204,15.60000038,15.04734612,0.193952397
231,30.1,1181,206,15.60000038,15.04734612,0.193952397
202,31.2,820,216,17.10000038,53.86261368,0.092006072
208,30.1,1103,205,15.89999962,48.05262756,0.073131569
196,31.2,880,218,16.60000038,96.02600861,0.112798557
208,30.1,1121,218,15.89999962,48.05262756,0.073131569
197,31.2,975,220,16.60000038,53.60046387,0.114569753
211,30.1,1148,214,15.10000038,22.09578323,0.086036623
197,31.2,958,214,16.39999962,56.68614197,0.107180305
211,30.1,1173,220,15.10000038,22.09578323,0.086036623
202,31.2,935,213,16.70000076,58.35225677,0.107695743
211,30.1,1223,244,15.10000038,22.09578323,0.086036623
207,31.2,890,226,16.60000038,83.84725189,0.114232421
211,30.1,1254,231,15.10000038,22.09578323,0.086036623
205,31.2,884,224,16.89999962,57.65689468,0.108870521
211,30.1,1289,212,15.10000038,23.70158768,0.111616671
222,30.1,979,220,16.10000038,77.93558502,0.118990354
211,30.1,1301,223,15.10000038,23.70158768,0.111616671
210,30.1,863,216,18.20000076,49.50683975,0.117185406
209,30.1,1044,197,16.20000076,69.63700104,0.076032326
320,43.4,738,218,17,11.92086506,0.052662488
225,30.1,984,213,16.60000038,78.34526825,0.119368181
211,30.1,1343,159,15.10000038,23.70158768,0.111616671
200,30.1,994,219,16.5,51.98021317,0.118118189
211,30.1,1377,155,15.10000038,23.70158768,0.111616671
184,26.8,1191,218,14.60000038,38.52742767,0.12654613
211,30.1,1468,120,15.10000038,23.70158768,0.111616671
221,26.8,1199,214,14.5,54.68339539,0.133991078
216,30.1,1556,184,15.10000038,28.27823257,0.176679835
209,26.8,1201,220,14.5,49.56301498,0.132929295
211,30.1,1591,180,15.10000038,28.27823257,0.176679835
213,13.5,1202,214,14.30000019,54.25430679,0.133334428
211,30.1,1634,193,15.10000038,28.27823257,0.176679835
247,13.5,1187,217,14.19999981,54.87574768,0.133936033
211,30.1,1614,232,15.10000038,28.27823257,0.176679835
182,13.5,1176,218,14.69999981,56.99428558,0.133237749
219,30.1,1541,219,14.89999962,25.91328049,0.182622403
182,13.5,1202,213,14.69999981,58.85228348,0.130817935
219,30.1,1550,195,14.89999962,25.91328049,0.182622403
172,13.5,1225,219,14.89999962,46.97950363,0.16499719
219,30.1,1563,183,14.89999962,25.91328049,0.182622403
219,35.2,847,220,17,59.72838974,0.116716616
209,30.1,1052,221,16.20000076,64.09658051,0.077641219
320,43.4,736,214,17,11.92086506,0.052662488
181,13.5,1199,216,14.39999962,41.71798325,0.113912314
219,30.1,1516,195,14.89999962,25.91328049,0.182622403
243,26.8,1196,213,14.5,51.44105911,0.138809651
212,30.1,1595,199,13.89999962,22.67484474,0.109027117
211,26.8,1210,217,14.5,31.71384239,0.113137186
212,30.1,1620,231,13.89999962,26.03505516,0.193453938
342,26.8,1255,218,14.69999981,13.94714355,0.193881527
212,30.1,1638,226,13.89999962,26.03505516,0.193453938
371,26.8,1234,208,15,16.87407112,0.190892398
212,30.1,1620,208,13.89999962,26.03505516,0.193453938
314,26.8,1168,223,15.30000019,14.36752987,0.159154326
212,30.1,1608,205,13.89999962,26.03505516,0.193453938
314,26.8,1132,242,15.30000019,13.06165314,0.12518537
212,30.1,1607,200,13.89999962,26.73857117,0.129642338
349,26.8,971,150,16,13.06165314,0.12518537
212,30.1,1618,210,13.89999962,26.73857117,0.129642338
331,26.8,868,170,16.39999962,12.91805553,0.108813778
210,30.1,1075,215,16.20000076,31.96157837,0.063651152
365,26.8,777,216,18.10000038,14.74645042,0.083888456
210,30.1,1073,230,16.20000076,31.96157837,0.063651152
216,30.1,923,208,17.29999924,32.01490402,0.096101075
209,30.1,1049,224,16.20000076,64.09658051,0.077641219
210,30.1,1079,207,16.20000076,31.96157837,0.063651152
210,30.1,1035,202,16.20000076,31.96157837,0.063651152
210,30.1,1014,215,16.20000076,33.66294098,0.11971458
210,30.1,1051,200,16.20000076,37.20134735,0.092543177
240,26.8,559,222,19.60000038,38.71258926,0.082210787
210,30.1,1081,202,16.20000076,37.20134735,0.092543177
243,36.4,550,214,19.60000038,40.90826035,0.059942942
210,30.1,1089,203,16.20000076,37.20134735,0.092543177
265,36.4,536,212,19.60000038,39.66469955,0.056801166
210,30.1,1081,200,16.20000076,31.96157837,0.063651152
275,35.3,523,218,19.79999924,50.52454758,0.063925058
231,30.1,1127,202,15.60000038,26.60407829,0.071878642
225,13.5,1170,214,15,47.56647491,0.135883629
224,30.1,1146,185,14.89999962,26.60407829,0.071878642
262,13.5,1264,217,14.5,40.48763657,0.128823116
224,30.1,1140,185,14.89999962,26.60407829,0.071878642
