"plot","longitude","latitude"
"HTR_45",19.22833333,-32.00669444
"HTR_45_ak",19.75616667,-31.442
"HTR_46",19.22783333,-31.99894444
"HTR_46_ak",19.75769444,-31.44266667
"HTR_47",19.23961111,-31.94319444
"HTR_47_ak",19.75902778,-31.443
"HTR_48",19.27263889,-31.88052778
"HTR_48_ak",19.7595,-31.44305556
"HTR_49",19.2715,-31.8505
"HTR_49_ak",19.76011111,-31.44311111
"HTR_5",19.47972222,-31.48455556
"HTR_5_ak",19.77569444,-31.451
"HTR_5_nieu",19.04989,-31.27247
"HTR_50",19.28622222,-31.78011111
"HTR_50_ak",19.77541667,-31.42680556
"HTR_51",19.30280556,-31.71975
"HTR_51_ak",19.77547222,-31.42666667
"HTR_52",19.2895,-31.70286111
"HTR_52_ak",19.77325,-31.42519444
"HTR_53",19.246,-31.63588889
"HTR_53_ak",19.77311111,-31.42522222
"HTR_54",19.37202778,-31.55213889
"HTR_54_ak",19.77122222,-31.42597222
"HTR_55",19.51188889,-31.30133333
"HTR_55_ak",19.77233333,-31.42663889
"HTR_56",19.52661111,-31.24852778
"HTR_56_ak",19.78097222,-31.41447222
"HTR_57",19.58055556,-31.21269444
"HTR_57_ak",19.78275,-31.41461111
"HTR_58",19.598,-31.20655556
"HTR_58_ak",19.78344444,-31.41466667
"HTR_59",19.63783333,-31.18211111
"HTR_59_ak",19.78363889,-31.41369444
"HTR_6",19.47680556,-31.45755556
"HTR_6_ak",19.77672222,-31.44961111
"HTR_6_nieu",19.07369,-31.4326
"HTR_60",19.65544444,-31.16361111
"HTR_60_ak",19.78355556,-31.41263889
"HTR_61_ak",19.78283333,-31.41302778
"HTR_62",19.78094444,-31.135
"HTR_62_ak",19.76241667,-31.43525
"HTR_63",19.80852778,-31.12238889
"HTR_63_ak",19.75852778,-31.43519444
"HTR_64",19.83933333,-31.12519444
"HTR_64_ak",19.75511111,-31.43541667
"HTR_65",19.86266667,-31.13055556
"HTR_65_ak",19.75288889,-31.43563889
"HTR_66",19.87708333,-31.146
"HTR_66_ak",19.75077778,-31.43722222
"HTR_67",19.81141667,-31.21919444
"HTR_67_ak",19.74925,-31.43808333
"HTR_68",19.74702778,-31.27430556
"HTR_68_ak",19.74763889,-31.43813889
"HTR_69",19.74344444,-31.49730556
"HTR_69_ak",19.74583333,-31.43663889
"HTR_7",19.45408333,-31.46044444
"HTR_7_ak",19.77811111,-31.45011111
"HTR_7_nieu",19.07603,-31.43571
"HTR_70",19.65905556,-31.50191667
"HTR_70_ak",19.74352778,-31.43572222
"HTR_71",19.60116667,-31.49536111
"HTR_71_ak",19.74358333,-31.43458333
"HTR_72",20.14772222,-32.05211111
"HTR_72_ak",19.74255556,-31.43252778
"HTR_73",20.15897222,-32.03811111
"HTR_73_ak",19.74105556,-31.432
"HTR_74",20.17594444,-32.02483333
"HTR_74_ak",19.74202778,-31.42991667
"HTR_75",20.19697222,-32.01594444
"HTR_75_ak",19.74275,-31.42894444
"HTR_76",20.21263889,-31.98819444
"HTR_76_ak",19.74269444,-31.42775
"HTR_77",20.20488889,-31.95383333
"HTR_77_ak",19.74338889,-31.42183333
"HTR_78",20.20458333,-31.944
"HTR_78_ak",19.74313889,-31.42
"HTR_79",20.20302778,-31.939
"HTR_79_ak",19.74288889,-31.41655556
"HTR_8",19.44813889,-31.41975
"HTR_8_ak",19.78055556,-31.44805556
"HTR_8_nieu",19.07554,-31.4367
"HTR_80",20.21066667,-31.92844444
"HTR_80_ak",19.74458333,-31.41908333
"HTR_81",20.16388889,-32.05794444
"HTR_81_ak",19.75138889,-31.39794444
"HTR_82",20.13513889,-32.06441667
"HTR_82_ak",19.75072222,-31.39933333
"HTR_83",20.13047222,-32.10091667
"HTR_83_ak",19.75047222,-31.40061111
"HTR_84",20.12155556,-32.11647222
"HTR_84_ak",19.74958333,-31.40208333
"HTR_85",20.11658333,-32.12897222
"HTR_85_ak",19.74930556,-31.40363889
"HTR_86",20.11475,-32.12836111
"HTR_86_ak",19.74869444,-31.40397222
"HTR_87",20.10705556,-32.12475
"HTR_87_ak",19.74513889,-31.40183333
"HTR_88",20.09722222,-32.12713889
"HTR_88_ak",19.73463889,-31.45319444
"HTR_89",20.08716667,-32.12663889
"HTR_89_ak",19.73338889,-31.45261111
"HTR_9",19.46666667,-31.42155556
"HTR_9_ak",19.77686111,-31.44647222
"HTR_90_ak",19.73277778,-31.45102778
"HTR_91_ak",19.73894444,-31.45513889
"HTR_92_ak",19.74166667,-31.45772222
"HTR_93_ak",19.73663889,-31.4575
"HTR_94",20.022,-32.18902778
"HTR_94_ak",19.73494444,-31.45788889
"HTR_95",19.99013889,-32.14511111
"HTR_95_ak",19.73441667,-31.45727778
"HTR_96",19.96888889,-32.12291667
"HTR_96_ak",19.73508333,-31.45644444
"HTR_97",19.84041667,-31.96472222
"HTR_97_ak",19.77680556,-31.40855556
"HTR_98",20.17086111,-31.87458333
"HTR_98_ak",19.77638889,-31.40755556
"HTR_99",20.12333333,-31.85877778
"HTR_99_ak",19.77686111,-31.40741667
